company_name,description,sectors,regions,backed,index_team,founders,ticker_symbol,company_profile_url,company_url,image_url,featured_content_urls,source_url,scraped_at
Built,"Built is the leading provider of secure, cloud-based construction lending software. Built's collaboration software brings the draw management process online and helps reduce construction loan risk, increases loan profitability, transforms the borrower experience, and simplifies compliance. Built serves small, regional and national lenders across the US.",Business Applications,North America,,,Chase Gilbert; Scott Sohr,,https://www.indexventures.com/companies/built/,http://getbuilt.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/with-hundreds-of-billions-of-dollars-up-for-grabs-the-race-to-power-legacy-industries-just-got/; https://www.indexventures.com/perspectives/relationship/built/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Capitolis,Capitolis is a pioneering technology provider for the global capital markets.,Fintech,North America; Europe,,Jan Hammer,Gil Mandelzis; Tom Glocer,,https://www.indexventures.com/companies/capitolis/,http://capitolis.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/capitolis-raises-110-million-in-series-d-to-turbo-charge-its-revolutionary-capital-marketplace/; https://www.indexventures.com/perspectives/relationship/capitolis/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Captain Train,"Capitaine Train was founded in 2009 by three software engineers with a unique goal: to reinvent the way we book train tickets. By facilitating bookings from multiple rail operators, and building intuitive online booking tools, Capitaine Train takes the pain out of booking train tickets in Europe.",Mobility,Europe,backed at Seed (all),Martin Mignot; Neil Rimer,Jean-Daniel Guyot; Martin Ottenwaelter; Valentin Surrel,Trainline,https://www.indexventures.com/companies/captain-train/,http://captaintrain.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/next-stop-europe-captain-train-joins-trainline/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
cargo.one,"The easiest way to book air cargo. The cargo.one booking platform gives you access to real-time prices and available capacities of multiple airlines. Directly book online within seconds, 24/7.",Business Applications,Europe,,Martin Mignot,Mike Rötgers; Moritz Claussen; Oliver Neumann,,https://www.indexventures.com/companies/cargoone/,http://www.cargo.one,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/cargoone-the-worlds-first-real-time-booking-engine-for-air-cargo-raises-186m-to-expand-to-north-america-and-asia/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Cartesia,Real-time multimodal intelligence for every device.,AI/ML,,backed by Index; backed at Seed,Shardul Shah,Karan Goel; Albert Gu; Arjun Desai; Brandon Yang; Chris Re,,https://www.indexventures.com/companies/cartesia/,http://cartesia.ai,https://www.indexventures.com/media/images/20241017_Index8085.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/building-the-next-generation-of-real-time-ai-models-our-investment-in-cartesia/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Castle,Keep out fake accounts. Protect real ones.,Security,Europe,,Shardul Shah,Johan Brissmyr; Sebastian Wallin,,https://www.indexventures.com/companies/castle/,http://castle.io,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/castle-wants-everyone-to-feel-safe-on-the-internet/; https://www.indexventures.com/perspectives/relationship/castle/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Catch,Earn store credit by helping merchants save on credit card fees.,Fintech,,backed at Seed (all),Danny Rimer,Nico Perdomo; Denia Ebersole; Vijay Singh; Whitney LaRow,,https://www.indexventures.com/companies/catch/,http://getcatch.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Causaly,An operating system for biomedical and health data,Healthcare,Europe,,Carlos Gonzalez-Cadenas,Yiannis Kiachopoulos; Artur Saudabayev,,https://www.indexventures.com/companies/causaly/,https://www.causaly.com/,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/causaly-raises-60m-to-catalyze-ai-powered-biomedical-research/; https://www.indexventures.com/perspectives/relationship/causaly/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Centrify,"Centrify secures identities against cyberthreats that target today’s hybrid IT environment of cloud, mobile and on-premises. Its Identity Platform protects against the leading point of attack used in data breaches ― compromised credentials —by securing enterprises’ internal and external users in addition to privileged accounts.",Security,North America,,,Tom Kemp; Adam Au; Paul Moore,,https://www.indexventures.com/companies/centrify/,http://centrify.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Check,Embed payroll in your platform.,Business Applications,,,Nina Achadjian,Andrew Brown; Vivek Patel,,https://www.indexventures.com/companies/checkhq/,http://checkhq.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
